"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"B1temp1","1","B1T","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"B2Temp1","1","B2T","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"Batt1+1,Batt1-1,Batt2+1,Batt2-1","4","TestPoint","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"BZ1","1","C94599","","","","easyeda2kicad:BUZ-SMD_4P-L8.5-W8.5-P8.50-BR","~"
"C1,C2","2","1uF","","","","easyeda2kicad:C1206","~"
"C3,C4","2","10uF","","","","easyeda2kicad:C1206","~"
"C5","1","0.1uF","","","","easyeda2kicad:C1206","~"
"D2","1","SS34_C8678","","","","easyeda2kicad:SMA_L4.3-W2.6-LS5.2-RD","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_SS34_C8678.html"
"DFU+1","1","DFU+","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"DFUG1","1","DFUG","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"F1","1","Polyfuse","","","","easyeda2kicad:R0805","~"
"GND1","1","GND","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"J1","1","USB-C Port","","","","easyeda2kicad:MICRO-USB-SMD_GT-USB-7047B",""
"J2","1","C42379197","","","","easyeda2kicad:HDR-SMD_HX-PM2.54-1X4P-TP-YQ","~"
"J3,J4","2","2061-1601/998-404","","","","CONN_2061-1601/998-404_WAG","2061-1601/998-404"
"L1","1","33uH IND","","","","easyeda2kicad:IND-SMD_L7.1-W6.6_SRP6030VA",""
"LED1","1","WS2812C","","","","easyeda2kicad:LED-SMD_4P-L5.0-W5.0-LS5.4-TL-1","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_5050-RGBIntegrated-Light-4Pin_C114587.html"
"R1,R2,R16,R18","4","4K7","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3,R19","2","100R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R4,R5","2","4R7","","","","Resistor_SMD:R_0402_1005Metric","~"
"R6,R7,R8,R9,R10,R11,R12,R14,R15,R27,R28","11","4k7","","","","Resistor_SMD:R_0402_1005Metric","~"
"R13,R17,R22,R23,R24,R25","6","10R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R20","1","10k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R21,R26","2","0R1","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1","1","EC11E18244AU","","","","easyeda2kicad:SW-TH_EC11XXXXXXXX","https://lcsc.com/product-detail/Coded-Rotary-Switches_ALPS_EC11E18244AU_EC11E18244AU_C202365.html"
"SW2","1","Batt SW","","","","easyeda2kicad:SW-SMD_CJS-1201B","https://lcsc.com/product-detail/DIP-Switches_5-4-2-5-2-5-600gf_C132858.html"
"U1","1","STUSB4500","","","","easyeda2kicad:QFN-24_L4.0-W4.0-P0.50-BL-EP2.8","https://www.st.com/resource/en/datasheet/stusb4500.pdf"
"U2","1","AMS1117-3.3","","","","easyeda2kicad:SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","https://lcsc.com/product-detail/Low-Dropout-Regulators-LDO_AMS_AMS1117-3-3_AMS1117-3-3_C6186.html"
"U3","1","TPS2121","","","","easyeda2kicad:VQFN-HR-12_L2.5-W2.0-P0.50-BL","https://lcsc.com/product-detail/New-Arrivals_Texas-Instruments-Texas-Instruments-TPS2121RUXR_C485916.html"
"U4","1","ESP-32-S3-MINI-1-N4R2","","","","ESP32-S3:ESP32-S3-MINI-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-mini-1_mini-1u_datasheet_en.pdf"
"U5","1","C94847","","","","MCP9808-E_MS:SOP65P490X110-8N",""
"U6","1","MCP4017","","","","easyeda2kicad:SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588940105466068992"
"U7","1","XL6019E1","","","","easyeda2kicad:TO-263-5_L10.2-W9.9-P1.70-LS14.4-TL","https://lcsc.com/product-detail/DC-DC-Converters_XL6019E1_C73018.html"
"U8","1","DRV8872DDAR","","","","easyeda2kicad:HSOP-8_L5.0-W4.0-P1.27-LS6.2-BL-EP","https://lcsc.com/product-detail/Motor-Drivers_TI_DRV8872DDAR_DRV8872DDAR_C114179.html"
"U9","1","TP5100","","","","easyeda2kicad:TQFN-16_L4.0-W4.0-P0.65-BL-EP","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8603381396140404736"
"U10","1","C49851","","","","easyeda2kicad:MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL","http://www.ti.com/lit/ds/symlink/ina226.pdf"
